year,ibge_code,municipality,uf,population
2024,1100015,Alta Floresta D'Oeste,RO,22853
2025,1100015,Alta Floresta D'Oeste,RO,22787
2024,1100023,Ariquemes,RO,108573
2025,1100023,Ariquemes,RO,109170
2024,1100031,Cabixi,RO,5690
2025,1100031,Cabixi,RO,5664
2024,1100049,Cacoal,RO,97637
2025,1100049,Cacoal,RO,98280
2024,1100056,Cerejeiras,RO,16975
2025,1100056,Cerejeiras,RO,16966
2024,1100064,Colorado do Oeste,RO,16588
2025,1100064,Colorado do Oeste,RO,16508
2024,1100072,Corumbiara,RO,8001
2025,1100072,Corumbiara,RO,7968
2024,1100080,Costa Marques,RO,13522
2025,1100080,Costa Marques,RO,13510
2024,1100098,Espigão D'Oeste,RO,32717
2025,1100098,Espigão D'Oeste,RO,32842
2024,1100106,Guajará-Mirim,RO,43553
2025,1100106,Guajará-Mirim,RO,43594
2024,1100114,Jaru,RO,55583
2025,1100114,Jaru,RO,55682
2024,1100122,Ji-Paraná,RO,139359
2025,1100122,Ji-Paraná,RO,140101
2024,1100130,Machadinho D'Oeste,RO,34063
2025,1100130,Machadinho D'Oeste,RO,34149
2024,1100148,Nova Brasilândia D'Oeste,RO,16504
2025,1100148,Nova Brasilândia D'Oeste,RO,16374
2024,1100155,Ouro Preto do Oeste,RO,38681
2025,1100155,Ouro Preto do Oeste,RO,38684
2024,1100189,Pimenta Bueno,RO,39053
2025,1100189,Pimenta Bueno,RO,39220
2024,1100205,Porto Velho,RO,514873
2025,1100205,Porto Velho,RO,517709
2024,1100254,Presidente Médici,RO,20518
2025,1100254,Presidente Médici,RO,20443
2024,1100262,Rio Crespo,RO,3753
2025,1100262,Rio Crespo,RO,3767
2024,1100288,Rolim de Moura,RO,62559
2025,1100288,Rolim de Moura,RO,62959
2024,1100296,Santa Luzia D'Oeste,RO,7877
2025,1100296,Santa Luzia D'Oeste,RO,7837
2024,1100304,Vilhena,RO,108528
2025,1100304,Vilhena,RO,109651
2024,1100320,São Miguel do Guaporé,RO,22267
2025,1100320,São Miguel do Guaporé,RO,22305
2024,1100338,Nova Mamoré,RO,28496
2025,1100338,Nova Mamoré,RO,28701
2024,1100346,Alvorada D'Oeste,RO,13837
2025,1100346,Alvorada D'Oeste,RO,13720
2024,1100379,Alto Alegre dos Parecis,RO,12263
2025,1100379,Alto Alegre dos Parecis,RO,12237
2024,1100403,Alto Paraíso,RO,17463
2025,1100403,Alto Paraíso,RO,17467
2024,1100452,Buritis,RO,30729
2025,1100452,Buritis,RO,30649
2024,1100502,Novo Horizonte do Oeste,RO,8056
2025,1100502,Novo Horizonte do Oeste,RO,7972
2024,1100601,Cacaulândia,RO,4345
2025,1100601,Cacaulândia,RO,4292
2024,1100700,Campo Novo de Rondônia,RO,9225
2025,1100700,Campo Novo de Rondônia,RO,9095
2024,1100809,Candeias do Jamari,RO,24163
2025,1100809,Candeias do Jamari,RO,24313
2024,1100908,Castanheiras,RO,3456
2025,1100908,Castanheiras,RO,3450
2024,1100924,Chupinguaia,RO,10129
2025,1100924,Chupinguaia,RO,10191
2024,1100940,Cujubim,RO,15883
2025,1100940,Cujubim,RO,15877
2024,1101005,Governador Jorge Teixeira,RO,8420
2025,1101005,Governador Jorge Teixeira,RO,8340
2024,1101104,Itapuã do Oeste,RO,9209
2025,1101104,Itapuã do Oeste,RO,9228
2024,1101203,Ministro Andreazza,RO,6657
2025,1101203,Ministro Andreazza,RO,6519
2024,1101302,Mirante da Serra,RO,9740
2025,1101302,Mirante da Serra,RO,9657
2024,1101401,Monte Negro,RO,12241
2025,1101401,Monte Negro,RO,12168
2024,1101435,Nova União,RO,6577
2025,1101435,Nova União,RO,6541
2024,1101450,Parecis,RO,4390
2025,1101450,Parecis,RO,4372
2024,1101468,Pimenteiras do Oeste,RO,2311
2025,1101468,Pimenteiras do Oeste,RO,2309
2024,1101476,Primavera de Rondônia,RO,3279
2025,1101476,Primavera de Rondônia,RO,3268
2024,1101484,São Felipe D'Oeste,RO,5605
2025,1101484,São Felipe D'Oeste,RO,5588
2024,1101492,São Francisco do Guaporé,RO,17511
2025,1101492,São Francisco do Guaporé,RO,17557
2024,1101500,Seringueiras,RO,12954
2025,1101500,Seringueiras,RO,12965
2024,1101559,Teixeirópolis,RO,4536
2025,1101559,Teixeirópolis,RO,4521
2024,1101609,Theobroma,RO,8540
2025,1101609,Theobroma,RO,8459
2024,1101708,Urupá,RO,11377
2025,1101708,Urupá,RO,11314
2024,1101757,Vale do Anari,RO,8265
2025,1101757,Vale do Anari,RO,8220
2024,1101807,Vale do Paraíso,RO,6843
2025,1101807,Vale do Paraíso,RO,6790
2024,1200013,Acrelândia,AC,14657
2025,1200013,Acrelândia,AC,14712
2024,1200054,Assis Brasil,AC,8573
2025,1200054,Assis Brasil,AC,8648
2024,1200104,Brasiléia,AC,27841
2025,1200104,Brasiléia,AC,28028
2024,1200138,Bujari,AC,13766
2025,1200138,Bujari,AC,13928
2024,1200179,Capixaba,AC,10922
2025,1200179,Capixaba,AC,10981
2024,1200203,Cruzeiro do Sul,AC,98382
2025,1200203,Cruzeiro do Sul,AC,98916
2024,1200252,Epitaciolândia,AC,19739
2025,1200252,Epitaciolândia,AC,19874
2024,1200302,Feijó,AC,37644
